Active 	BUS2017-01949	DODSON TECHNICAL SERVICES INC 	4925 E HUNTER AVE, 92807 	VIBRATION AND EQUIPMENT TEST SERVICE  
Active 	BUS2017-01950	NEXA CORPORATION  	1174 N EUCLID ST, 92801 	RETAIL SALES OF COSMETIC SKINCARE 
Currently Renewing 	BUS2017-01951	AFINARTE MUSIC LLC  	1594 S ANAHEIM BLVD D, 92805 	WAREHOUSING OF MATERIALS AND GENERAL STORAGE OF MERCHANDISE (NO EMPLOYEES) 
Finaled 	BUS2017-01953	AFINARTE MUSIC LLC  	110 W TILLER AVE, 92802 	ADMINISTRATIVE OFFICE USE ONLY (NO EMPLOYEES) 
Currently Renewing 	BUS2017-01952	M J M PLUMBING COMPANY INC 	3905 E 7TH ST, 05496 	Plumbing Contractor 
Active 	BUS2017-01954	SSAL CHICKEN #2 	2895 W LINCOLN AVE, 92801 	FULL SERVICE RESTAURANT 
Currently Renewing 	BUS2017-01955	Z3 PLUMBING CORP 	411 COMMERCIAL WAY, 47380 	Plumbing Contractor 
Active 	BUS2017-01956	BOULEVARD LOS ANGELES INC 	3121 E LA PALMA AVE T, 92806 	STORAGE *NO EMPLOYEES* 
Currently Renewing 	BUS2017-01957	THE PLUG 	1413 W CHALET AVE, 92802 	OFFICE USE FOR CLOTHING, TOYS, GENEAL MERCHANDISE RETAIL SALES  
Active 	BUS2017-01958	FRUIT SPLASH 	3016 W LINCOLN AVE, 92804 	SMOOTHIE SHOP 
Active 	BUS2017-01959	FALCON STRIPING 	260 GLIDER CIR, 97346 	Parking and Highway Improvement *per sublist bld 2013-01310 started 9/15* 
Active 	BUS2017-01960	J S AUTO PLAZA INC 	520 N BROOKHURST ST 110 (Fireline), 92801 	RETAIL USED CAR DEALERSHIP (PER CUP2015-05800, 10 OF10 PERMITS) 
Active 	BUS2017-01961	OMNIQ 	665 S MELROSE ST,  	OFFICE USE ONLY FOR FREIGHT FORWARDING SERVICES (NO EMPLOYEES) 
Currently Renewing 	BUS2017-01962	E G G LOCKSMITH 	200 N WILSHIRE AVE 203, 92801 	OFFICE USE ONLY FOR LOCKSMITH SERVICES (1 EMPLOYEE)  
Finaled 	BUS2017-01963	ELECTRONIC DIRECTORIES LLC 	627 S MANCHESTER AVE, 92802 	INTERNET ADVERTISING SERVICES *NO EMPLOYEES* 
Finaled 	BUS2017-01964	YELLOW PAGES INC 	627 S MANCHESTER AVE, 92802 	INTERNET DIRECTORY PUBLICATION *1 EMPLOYEE* 
Currently Renewing 	BUS2017-01965	CHEF MG CATERING 	1512 E ELM ST, 92805 	OFFICE USE ONLY FOR PRIVATE EVENT CATERING SERVICES 
Active 	BUS2017-01966	DIECAST PROMOS 	501 E ORANGETHORPE AVE, 92801 	OFFICE USE ONLY FOR WHOLESALE OF PROMOTIONAL PRODUCTS 
Active 	BUS2017-01967	R C POOLS STEEL 	1136 NEWFIELD CIR, 97346 	Swimming Pool Contractor 
Finaled 	BUS2017-01968	THE LOPEZ GROUP CONTRACTORS INC 	29971 NUEVO RD, 46578 	General Engineering Contractor  
Currently Renewing 	BUS2017-01969	LUHMANN REVOCABLE LIVING TRUST 	1184 W CASA GRANDE AVE, 92802 	APARTMENT BUILDING OPERATOR (9 UNITS) 
Active 	BUS2017-01970	LOVE2ASL COM 	2115 W CRESCENT AVE 260, 92801 	SIGN LANGUAGE WORKSHOP VIDEO PRODUCTION 
Active 	BUS2017-01971	HOLLISTER CONSTRUCTION COMPANY 	4065 E LA PALMA AVE C, 92807 	GENERAL & CONCRETE CONTRACTOR 
Currently Renewing 	BUS2017-01972	NAVIGATOR I T MANAGEMENT 	2215 E SYCAMORE ST, 92806 	OFFICE USE ONLY FOR IT MANAGEMENT  
Currently Renewing 	BUS2017-01973	GUYTUKS APPAREL 	290 S LEMON ST 405, 92805 	OFFICE USE ONLY FOR ONLINE RETAIL SALES OF CLOTHING  
Currently Renewing 	BUS2017-01974	O E M SYSTEMS & SERVICES INC 	1175 N RED GUM ST, 92806 	WHOLESALE OF COMPUTER PARTS 
Active 	BUS2017-01975	QUALITY CONNECTIONS LIVING SERVICES 	1580 S LEWIS ST, 92805 	WAREHOUSE AND STORAGE WITH ACCESSORY OFFICE USE OFF SITE LIFE SKILLS TRAINING SERVICES (7 EMPLOYEES) 
Currently Renewing 	BUS2017-01976	STATE CLEANING SERVICES 	206 N COFFMAN ST 208, 92805 	OFFICE USE FOR OFF-SITE CLEANING SERVICE 
Active 	BUS2017-01977	P & J PLASTERING INC 	6442 COLUMBUS ST, 97346 	Lathing and Plastering Contractor 
Currently Renewing 	BUS2017-01978	HOT TECH CONTRACTOR INC 	12703 CHESHIRE ST, 28631 	General Building Contractor 
Currently Renewing 	BUS2017-01979	TBC GENERAL BUILDING CONSTRUCTION I 	403 N GUNTHER PL, 45574 	General Building Contractor 
Active 	BUS2017-01980	DYNAMICS CONSTRUCTION 	2525 W CHANTICLEER RD, 45631 	General Building Contractor 
Active 	BUS2017-01981	VETERAN AIR 	1365 N DYNAMICS ST J, 92806 	Warm-Air Heating, Ventilating and Air Cond Services  
Currently Renewing 	BUS2017-01982	BAIL NATION BAIL BONDS 	1675 W MELLS LN, 92802 	OFFICE USE ONLY FOR ONLINE BAIL BONDS SERVICES  
Currently Renewing 	BUS2017-01983	BRIAN BALANCE OF ANAHEIM HILLS 	8018 E SANTA ANA CANYON RD 108, 92808 	SPECIAL EDUCATION LEARNING SERVICES (5 EMPLOYEES) 
Currently Renewing 	BUS2017-01984	J C CATERING 	10841 BERRY AVE, 45631 	CATERING (UNINCORPORATED)  
